Organization,Availability,Division,SystemType,SystemName,Platform,Model,MlperfModel,Scenario,Result,Accuracy,number_of_nodes,host_processor_model_name,host_processors_per_node,host_processor_core_count,accelerator_model_name,accelerators_per_node,Location,framework,operating_system,notes,compliance,errors,version,inferred,has_power,Units
cTuning,available,open,"edge","0b8dec187f3b (auto detected)",0b8dec187f3b-tflite_cpp-cpu-tflite-vmaster-default_config,mobilenet-v2-precision_uint8-0.35-224,resnet,SingleStream,3.257938,58.552,1,"AMD Ryzen 5 5500U with Radeon Graphics",1,6,"N/A","0",open/cTuning/results/0b8dec187f3b-tflite_cpp-cpu-tflite-vmaster-default_config/mobilenet-v2-precision_uint8-0.35-224/singlestream,"tflite vmaster","Ubuntu 23.04 (linux-5.10.16.3-microsoft-standard-WSL2-glibc2.37)"," Result taken by Anandhu S. Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.1,0,False,Latency (ms)
cTuning,available,open,"edge","0b8dec187f3b (auto detected)",0b8dec187f3b-tflite_cpp-cpu-tflite-vmaster-default_config,mobilenet-v2-precision_uint8-0.35-224,resnet,MultiStream,31.149768,58.552,1,"AMD Ryzen 5 5500U with Radeon Graphics",1,6,"N/A","0",open/cTuning/results/0b8dec187f3b-tflite_cpp-cpu-tflite-vmaster-default_config/mobilenet-v2-precision_uint8-0.35-224/multistream,"tflite vmaster","Ubuntu 23.04 (linux-5.10.16.3-microsoft-standard-WSL2-glibc2.37)"," Result taken by Anandhu S. Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.1,1,False,Latency (ms)
cTuning,available,open,"edge","0b8dec187f3b (auto detected)",0b8dec187f3b-tflite_cpp-cpu-tflite-vmaster-default_config,mobilenet-v2-precision_uint8-0.35-224,resnet,Offline,315.324,58.552,1,"AMD Ryzen 5 5500U with Radeon Graphics",1,6,"N/A","0",open/cTuning/results/0b8dec187f3b-tflite_cpp-cpu-tflite-vmaster-default_config/mobilenet-v2-precision_uint8-0.35-224/offline,"tflite vmaster","Ubuntu 23.04 (linux-5.10.16.3-microsoft-standard-WSL2-glibc2.37)"," Result taken by Anandhu S. Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.1,1,False,Samples/s
cTuning,available,open,"edge","0b8dec187f3b (auto detected)",0b8dec187f3b-tflite_cpp-cpu-tflite-vmaster-default_config,mobilenet-v2-precision_float-1.0-192,resnet,SingleStream,11.698907,70.740,1,"AMD Ryzen 5 5500U with Radeon Graphics",1,6,"N/A","0",open/cTuning/results/0b8dec187f3b-tflite_cpp-cpu-tflite-vmaster-default_config/mobilenet-v2-precision_float-1.0-192/singlestream,"tflite vmaster","Ubuntu 23.04 (linux-5.10.16.3-microsoft-standard-WSL2-glibc2.37)"," Result taken by Anandhu S. Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.1,0,False,Latency (ms)
cTuning,available,open,"edge","0b8dec187f3b (auto detected)",0b8dec187f3b-tflite_cpp-cpu-tflite-vmaster-default_config,mobilenet-v2-precision_float-1.0-192,resnet,MultiStream,107.033392,70.740,1,"AMD Ryzen 5 5500U with Radeon Graphics",1,6,"N/A","0",open/cTuning/results/0b8dec187f3b-tflite_cpp-cpu-tflite-vmaster-default_config/mobilenet-v2-precision_float-1.0-192/multistream,"tflite vmaster","Ubuntu 23.04 (linux-5.10.16.3-microsoft-standard-WSL2-glibc2.37)"," Result taken by Anandhu S. Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.1,1,False,Latency (ms)
cTuning,available,open,"edge","0b8dec187f3b (auto detected)",0b8dec187f3b-tflite_cpp-cpu-tflite-vmaster-default_config,mobilenet-v2-precision_float-1.0-192,resnet,Offline,87.3956,70.740,1,"AMD Ryzen 5 5500U with Radeon Graphics",1,6,"N/A","0",open/cTuning/results/0b8dec187f3b-tflite_cpp-cpu-tflite-vmaster-default_config/mobilenet-v2-precision_float-1.0-192/offline,"tflite vmaster","Ubuntu 23.04 (linux-5.10.16.3-microsoft-standard-WSL2-glibc2.37)"," Result taken by Anandhu S. Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.1,1,False,Samples/s
cTuning,available,open,"edge","0b8dec187f3b (auto detected)",0b8dec187f3b-tflite_cpp-cpu-tflite-vmaster-default_config,efficientnet-int8-lite0,resnet,SingleStream,13.943181,71.250,1,"AMD Ryzen 5 5500U with Radeon Graphics",1,6,"N/A","0",open/cTuning/results/0b8dec187f3b-tflite_cpp-cpu-tflite-vmaster-default_config/efficientnet-int8-lite0/singlestream,"tflite vmaster","Ubuntu 23.04 (linux-5.10.16.3-microsoft-standard-WSL2-glibc2.37)"," Result taken by Anandhu S. Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.1,0,False,Latency (ms)
cTuning,available,open,"edge","0b8dec187f3b (auto detected)",0b8dec187f3b-tflite_cpp-cpu-tflite-vmaster-default_config,efficientnet-int8-lite0,resnet,MultiStream,128.39408,71.250,1,"AMD Ryzen 5 5500U with Radeon Graphics",1,6,"N/A","0",open/cTuning/results/0b8dec187f3b-tflite_cpp-cpu-tflite-vmaster-default_config/efficientnet-int8-lite0/multistream,"tflite vmaster","Ubuntu 23.04 (linux-5.10.16.3-microsoft-standard-WSL2-glibc2.37)"," Result taken by Anandhu S. Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.1,1,False,Latency (ms)
cTuning,available,open,"edge","0b8dec187f3b (auto detected)",0b8dec187f3b-tflite_cpp-cpu-tflite-vmaster-default_config,efficientnet-int8-lite0,resnet,Offline,72.9473,71.250,1,"AMD Ryzen 5 5500U with Radeon Graphics",1,6,"N/A","0",open/cTuning/results/0b8dec187f3b-tflite_cpp-cpu-tflite-vmaster-default_config/efficientnet-int8-lite0/offline,"tflite vmaster","Ubuntu 23.04 (linux-5.10.16.3-microsoft-standard-WSL2-glibc2.37)"," Result taken by Anandhu S. Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.1,1,False,Samples/s
cTuning,available,open,"edge","0b8dec187f3b (auto detected)",0b8dec187f3b-tflite_cpp-cpu-tflite-vmaster-default_config,mobilenet-v2-precision_float-0.75-160,resnet,SingleStream,5.95735,66.750,1,"AMD Ryzen 5 5500U with Radeon Graphics",1,6,"N/A","0",open/cTuning/results/0b8dec187f3b-tflite_cpp-cpu-tflite-vmaster-default_config/mobilenet-v2-precision_float-0.75-160/singlestream,"tflite vmaster","Ubuntu 23.04 (linux-5.10.16.3-microsoft-standard-WSL2-glibc2.37)"," Result taken by Anandhu S. Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.1,0,False,Latency (ms)
